Model,RMSE,R2,Time_s,Env
LinearRegression+Scaled,0.4261954457425258,0.9412320722981616,0.0015037059783935,Scikit-learn
DecisionTree,1.774310969595848,-0.018549740911643,0.038280963897705,Scikit-learn
RandomForest,1.7121689301096057,0.0515466141771717,6.234853506088257,Scikit-learn
LinearRegression+Scaled,0.8415226307591425,0.9838325448620642,0.005129337310791,Scikit-learn
DecisionTree,7.68385284424662,-0.3479324942953139,0.1195776462554931,Scikit-learn
RandomForest,7.670718661056653,-0.3433283297571814,5.324588298797607,Scikit-learn
LinearRegression+Scaled,5.564525200266672,0.9807792844266544,0.002518892288208,Scikit-learn
DecisionTree,17.88447238625126,0.8014519665421772,0.1169867515563964,Scikit-learn
RandomForest,17.41166905920416,0.8118110439919228,14.68750524520874,Scikit-learn
LinearRegression+Scaled,5.564525200266672,0.9807792844266544,0.0035333633422851,Scikit-learn
DecisionTree,17.88447238625126,0.8014519665421772,0.1181058883666992,Scikit-learn
RandomForest,17.485404693917268,0.8102137687528608,21.264219999313354,Scikit-learn
LinearRegression+Scaled,5.564525200266672,0.9807792844266544,0.0404930114746093,Scikit-learn
DecisionTree,17.88447238625126,0.8014519665421772,0.1455352306365966,Scikit-learn
RandomForest,17.41166905920416,0.8118110439919228,11.972988843917848,Scikit-learn
LinearRegression,0.8202552222518428,0.9996055425834977,1.8409427299993695,Spark
DecisionTree,22.99585060321874,0.6899718884713171,5.135208618999968,Spark
RandomForest,21.224103156886372,0.7359046141448357,97.30907942900012,Spark
